ID,life_expectancy,bmi,hiv,gdp,thinness_till19,inf_death,school,lifestyle,pop_size
0,65,19.1,0.1,584.25921,17.2,62,10.1,0.191,3
1,59.9,18.6,0.1,612.696514,17.5,64,10,0.186,1
2,59.9,18.1,0.1,631.744976,17.7,66,9.9,0.181,3
3,59.5,17.6,0.1,669.959,17.9,69,9.8,0.176,2
4,59.2,17.2,0.1,63.537231,18.2,71,9.5,0.172,2
5,58.8,16.7,0.1,553.32894,18.4,74,9.2,0.167,2
6,58.6,16.2,0.1,445.8932979,18.6,77,8.9,0.162,1
7,58.1,15.7,0.1,373.3611163,18.8,80,8.7,0.471,2
8,57.5,15.2,0.1,369.835796,19,82,8.4,0.304,3
9,57.3,14.7,0.1,272.56377,19.2,84,8.1,0.441,2
10,57.3,14.2,0.1,25.2941299,19.3,85,7.9,0.284,1
11,57,13.8,0.1,219.1413528,19.5,87,6.8,0.276,3
12,56.7,13.4,0.1,198.7285436,19.7,87,6.5,0.134,2
13,56.2,13,0.1,187.84595,19.9,88,6.2,0.13,3
14,55.3,12.6,0.1,117.49698,2.1,88,5.9,0.126,2
15,54.8,12.2,0.1,114.56,2.3,88,5.5,0.122,1
16,77.8,58,0.1,3954.22783,1.2,0,14.2,266.8,1
17,77.5,57.2,0.1,4575.763787,1.2,0,14.2,257.972,1
18,77.2,56.5,0.1,4414.72314,1.3,0,14.2,268.94,1
19,76.9,55.8,0.1,4247.61438,1.3,0,14.2,286.812,1
20,76.6,55.1,0.1,4437.17868,1.4,0,13.3,295.887,1
21,76.2,54.3,0.1,494.358832,1.4,1,12.5,286.704,1
22,76.1,53.5,0.1,4114.136545,1.5,1,12.2,309.765,2
23,75.3,52.6,0.1,437.539647,1.6,1,12,295.086,2
24,75.9,51.7,0.1,363.13685,1.6,1,11.6,288.486,1
25,74.2,5.8,0.1,35.1293,1.7,1,11.4,30.798,2
26,73.5,49.9,0.1,279.142931,1.8,1,10.8,257.484,1
27,73,48.9,0.1,2416.588235,1.8,1,10.9,222.006,1
28,72.8,47.9,0.1,189.681557,1.9,1,10.7,205.491,1
29,73.3,46.9,0.1,1453.642777,2,1,10.7,174.937,1
30,73.6,46,0.1,1326.97339,2.1,1,10.6,195.5,1
31,72.6,45,0.1,1175.788981,2.1,1,10.7,164.7,1
32,75.6,59.5,0.1,4132.76292,6,21,14.4,242.76,3
